experiment_id,selected_model,parent_experiment,promote,reason,final_expectancy_r_per_alert,final_worst_20_trade_drawdown_r,parent_final_expectancy_r_per_alert,expectancy_delta_r,parent_final_worst_20_trade_drawdown_r,drawdown_improvement_pct,positive_sign_fraction,break_consistent
S0_native_continuation,baseline,,True,root_experiment,-0.6666666666666666,5.0,,,,,,
S1_native_plus_regime,baseline,S0_native_continuation,False,did_not_meet_promotion_rules,-0.19359685316856154,3.0,-0.6666666666666666,0.47306981349810506,5.0,40.0,0.09090909090909091,True
S2_plus_crowding_feature,baseline,S1_native_plus_regime,False,did_not_meet_promotion_rules,-0.5,2.0,-0.19359685316856154,-0.30640314683143843,3.0,33.33333333333333,0.13636363636363635,True
S3_plus_crowding_veto,baseline,S1_native_plus_regime,False,did_not_meet_promotion_rules,-0.5714285714285714,3.0,-0.19359685316856154,-0.37783171826000983,3.0,0.0,0.22727272727272727,True
