experiment_id,generator,model_key,split_kind,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,event_n_alerts,event_alerts_per_week,event_precision_tp_before_sl,event_expectancy_r_per_alert,event_hit_rate,event_profit_factor,event_max_drawdown_r,event_worst_20_trade_drawdown_r,event_median_hold_minutes,event_mean_probability_alerts,event_max_concurrent_positions,overlap_filtered_alerts,primary_metric
S0_native_continuation,continuation_v1_fast,baseline,final,1,0.625,19.0,2.0,0.5384615384615384,0.18080279624006246,-0.05013198983095336,-2.4517156487626535,0.0,-1.0,0.0,0.0,1.0,1.0,132.5,0.625,2.0,0.5384615384615384,0.0,-1.0,0.0,0.0,1.0,1.0,132.5,0.625,1.0,0.0,-1.0
S0_native_continuation,continuation_v1_fast,baseline,final,3,0.2727272727272727,19.0,9.0,2.423076923076923,0.18080279624006246,-0.05013198983095336,-2.4517156487626535,0.1111111111111111,-0.6666666666666666,0.1111111111111111,0.25,5.0,5.0,85.0,0.38797002224169463,12.0,3.230769230769231,0.08333333333333333,-0.75,0.08333333333333333,0.18181818181818182,8.0,8.0,72.5,0.39267407244833014,2.0,3.0,-0.6666666666666666
S0_native_continuation,continuation_v1_fast,baseline,outer,1,0.5329360654874556,15.772727272727273,4.5,1.5,0.2873923452745274,0.193378750994558,-0.9020763481909234,0.385968597965502,0.15790579389650594,0.385968597965502,inf,2.0,2.0,130.26315789473685,0.5454277040766741,7.7727272727272725,2.590909090909091,0.35621203701699056,0.08812441536997256,0.35621203701699056,inf,3.5789473684210527,3.3684210526315788,123.8157894736842,0.5438163891555504,2.1363636363636362,3.272727272727273,0.15790579389650594
S0_native_continuation,continuation_v1_fast,baseline,outer,3,0.20481254838883006,15.772727272727273,7.7272727272727275,2.5757575757575757,0.2873923452745274,0.193378750994558,-0.9020763481909234,0.36566101011288177,0.13714426157929976,0.36566101011288177,1.6821695877075846,2.943844209367978,2.943844209367978,152.38636363636363,0.3429015793378301,14.454545454545455,4.818181818181818,0.33927830949308513,0.054601516347239774,0.33927830949308513,1.5146965542452633,5.671116936640705,5.489298754822523,166.5909090909091,0.3417383183856321,3.0454545454545454,6.7272727272727275,0.13714426157929976
S1_native_plus_regime,continuation_v1_fast,baseline,final,1,0.7142857142857143,19.0,1.0,0.2692307692307692,0.1467435775273753,0.16670091332872689,-1.7099836465239366,0.0,-1.0,0.0,0.0,0.0,0.0,180.0,0.7142857142857143,1.0,0.2692307692307692,0.0,-1.0,0.0,0.0,0.0,0.0,180.0,0.7142857142857143,1.0,0.0,-1.0
S1_native_plus_regime,continuation_v1_fast,baseline,final,3,0.125,19.0,9.0,2.423076923076923,0.1467435775273753,0.16670091332872689,-1.7099836465239366,0.2222222222222222,-0.19359685316856154,0.2222222222222222,0.7096047202471577,3.0,3.0,85.0,0.2976579634688077,14.0,3.769230769230769,0.14285714285714285,-0.4815979770369324,0.14285714285714285,0.3870571201348133,7.7423716785170535,7.7423716785170535,72.5,0.32122167781436334,3.0,5.0,-0.19359685316856154
S1_native_plus_regime,continuation_v1_fast,baseline,outer,1,0.540963116959592,15.772727272727273,4.045454545454546,1.3484848484848486,0.27624712802804524,0.21702657013601623,-1.372102518057556,0.4274470899470899,0.29514727268947666,0.4274470899470899,inf,1.8333333333333333,1.8333333333333333,149.30555555555554,0.5435070831451491,6.863636363636363,2.287878787878788,0.39567736185383245,0.21839430475511457,0.39567736185383245,inf,3.3333333333333335,3.3333333333333335,221.52777777777777,0.5489892229880655,2.1363636363636362,2.8181818181818183,0.29514727268947666
S1_native_plus_regime,continuation_v1_fast,baseline,outer,3,0.20244307991410426,15.772727272727273,7.590909090909091,2.5303030303030303,0.27624712802804524,0.21702657013601623,-1.372102518057556,0.36893245643245637,0.14562002621681838,0.36893245643245637,inf,2.939578661956493,2.939578661956493,139.6590909090909,0.35969620881922393,14.090909090909092,4.696969696969696,0.3366322712913622,0.045859132793776354,0.3366322712913622,inf,5.57594229832013,5.3032150255928565,157.04545454545453,0.35958972520512084,3.0,6.5,0.14562002621681838
S2_plus_crowding_feature,continuation_v1_fast,baseline,final,1,0.5,19.0,1.0,0.2692307692307692,0.14961852559683642,0.06022645431080953,-1.9862123038617512,0.0,-1.0,0.0,0.0,0.0,0.0,180.0,0.999999,1.0,0.2692307692307692,0.0,-1.0,0.0,0.0,0.0,0.0,180.0,0.999999,1.0,0.0,-1.0
S2_plus_crowding_feature,continuation_v1_fast,baseline,final,3,0.2857142857142857,19.0,6.0,1.6153846153846154,0.14961852559683642,0.06022645431080953,-1.9862123038617512,0.16666666666666666,-0.5,0.16666666666666666,0.4,2.0,2.0,67.5,0.4181545952380952,8.0,2.1538461538461537,0.125,-0.625,0.125,0.2857142857142857,4.0,4.0,62.5,0.3917409464285714,2.0,2.0,-0.5
S2_plus_crowding_feature,continuation_v1_fast,baseline,outer,1,0.5297348532762189,15.772727272727273,5.090909090909091,1.696969696969697,0.28193370654614375,0.10141075754113531,-1.1392840118738177,0.36408445355813773,0.09636577350884015,0.36408445355813773,inf,2.476966835460562,2.476966835460562,149.8684210526316,0.5112565773986322,8.863636363636363,2.9545454545454546,0.3392842752362876,0.02795602331749882,0.3392842752362876,inf,4.582229993355299,4.266440519671089,180.6578947368421,0.5134356868260114,2.3636363636363638,3.772727272727273,0.09636577350884015
S2_plus_crowding_feature,continuation_v1_fast,baseline,outer,3,0.20976416015949387,15.772727272727273,7.7727272727272725,2.590909090909091,0.28193370654614375,0.10141075754113531,-1.1392840118738177,0.34964051100414734,0.08692547637146598,0.34964051100414734,1.4880352752097616,3.006557057875568,3.006557057875568,133.63636363636363,0.3720426399839006,15.0,5.0,0.32010242447495413,-0.005623451555296366,0.32010242447495413,1.3260823043698482,5.733829785148295,5.461102512421022,151.9318181818182,0.3796592632734118,3.272727272727273,7.2272727272727275,0.08692547637146598
S3_plus_crowding_veto,continuation_v1_fast,baseline,final,1,0.7142857142857143,19.0,1.0,0.2692307692307692,0.1437214050477106,0.16288413448123162,-1.6976826503773597,0.0,-1.0,0.0,0.0,0.0,0.0,180.0,0.7142857142857143,1.0,0.2692307692307692,0.0,-1.0,0.0,0.0,0.0,0.0,180.0,0.7142857142857143,1.0,0.0,-1.0
S3_plus_crowding_veto,continuation_v1_fast,baseline,final,3,0.2727272727272727,19.0,7.0,1.8846153846153846,0.1437214050477106,0.16288413448123162,-1.6976826503773597,0.14285714285714285,-0.5714285714285714,0.14285714285714285,0.3333333333333333,3.0,3.0,70.0,0.39610389610389607,10.0,2.692307692307692,0.1,-0.7,0.1,0.2222222222222222,6.0,6.0,60.0,0.38441558441558443,2.0,3.0,-0.5714285714285714
