experiment_id,generator,model_key,split_kind,fold_id,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,event_n_alerts,event_alerts_per_week,event_precision_tp_before_sl,event_expectancy_r_per_alert,event_hit_rate,event_profit_factor,event_max_drawdown_r,event_worst_20_trade_drawdown_r,event_median_hold_minutes,event_mean_probability_alerts,event_max_concurrent_positions,portfolio_selection_policy,overlap_filtered_alerts,primary_metric,test_start,test_end
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_06,1,0.25,6,3,1.0,0.28124966666716666,,,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,40.0,0.25,3,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,40.0,0.25,1,first_signal,0,0.0,2025-02-03T00:00:00+00:00,2025-02-24T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_06,3,1e-06,6,6,2.0,0.28124966666716666,,,0.3333333333333333,0.0,0.3333333333333333,1.0,2.0,2.0,42.5,0.1250005,6,2.0,0.3333333333333333,0.0,0.3333333333333333,1.0,2.0,2.0,42.5,0.1250005,1,first_signal,0,0.0,2025-02-03T00:00:00+00:00,2025-02-24T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_07,1,0.3388568115765222,15,5,1.6666666666666667,0.23355504445734604,0.3090623202065534,-0.2140896761291587,0.8,1.4,0.8,8.0,1.0,1.0,170.0,0.3575883949575887,12,4.0,0.5,0.7061105325546558,0.5,3.1183315976639676,2.0,2.0,252.5,0.3615447694814477,4,first_signal,7,1.4,2025-02-24T00:00:00+00:00,2025-03-17T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_07,3,0.29676649650392206,15,5,1.6666666666666667,0.23355504445734604,0.3090623202065534,-0.2140896761291587,0.8,1.4,0.8,8.0,1.0,1.0,170.0,0.3575883949575887,13,4.333333333333333,0.46153846153846156,0.5748712608196823,0.46153846153846156,2.494665278131174,2.0,2.0,335.0,0.35976642531837694,4,first_signal,8,1.4,2025-02-24T00:00:00+00:00,2025-03-17T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_08,1,0.5714285714285714,12,4,1.3333333333333333,0.1317080278779317,0.36300961043273794,-0.7906556251674096,0.5,0.5,0.5,2.0,1.0,1.0,297.5,0.5714285714285714,4,1.3333333333333333,0.5,0.5,0.5,2.0,1.0,1.0,297.5,0.5714285714285714,1,first_signal,0,0.5,2025-03-17T00:00:00+00:00,2025-04-07T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_08,3,1e-06,12,6,2.0,0.1317080278779317,0.36300961043273794,-0.7906556251674096,0.3333333333333333,0.0,0.3333333333333333,1.0,2.0,2.0,207.5,0.3809527142857143,12,4.0,0.16666666666666666,-0.5,0.16666666666666666,0.4,8.0,8.0,112.5,0.2786727581621014,3,first_signal,6,0.0,2025-03-17T00:00:00+00:00,2025-04-07T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_09,1,0.3333333333333333,10,0,0.0,0.19999960000099998,-5.7040129210122266e-05,-1.3871178667831099,,,,,,,,,0,0.0,,,,,,,,,0,first_signal,0,,2025-04-07T00:00:00+00:00,2025-04-28T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_09,3,1e-06,10,6,2.0,0.19999960000099998,-5.7040129210122266e-05,-1.3871178667831099,0.16666666666666666,-0.26806011488202924,0.16666666666666666,0.5979098276769561,2.6083606892921756,2.6083606892921756,232.5,1e-06,10,3.3333333333333335,0.2,-0.26083606892921757,0.2,0.6273770443868321,4.608360689292176,4.608360689292176,237.5,1.0000000000000002e-06,3,first_signal,4,-0.26806011488202924,2025-04-07T00:00:00+00:00,2025-04-28T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_10,1,0.25,20,9,3.0,0.28173744956717295,0.6774442830208304,0.6293744513214,0.6666666666666666,1.0,0.6666666666666666,4.0,2.0,2.0,145.0,0.25,17,5.666666666666667,0.5294117647058824,0.5882352941176471,0.5294117647058824,2.25,3.0,3.0,95.0,0.25,4,first_signal,8,1.0,2025-04-28T00:00:00+00:00,2025-05-19T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_10,3,1e-06,20,10,3.3333333333333335,0.28173744956717295,0.6774442830208304,0.6293744513214,0.6,0.8,0.6,3.0,2.0,2.0,135.0,0.24665570160850764,20,6.666666666666667,0.45,0.35,0.45,1.6363636363636365,3.0,3.0,77.5,0.2329890036635875,4,first_signal,10,0.8,2025-04-28T00:00:00+00:00,2025-05-19T00:00:00+00:00
