experiment_id,generator,model_key,split_kind,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,event_n_alerts,event_alerts_per_week,event_precision_tp_before_sl,event_expectancy_r_per_alert,event_hit_rate,event_profit_factor,event_max_drawdown_r,event_worst_20_trade_drawdown_r,event_median_hold_minutes,event_mean_probability_alerts,event_max_concurrent_positions,overlap_filtered_alerts,primary_metric
S0_native_continuation,continuation_v1,baseline,final,1,0.5,53.0,15.0,0.3903345724907063,0.24439902838521696,0.3047836773714155,-0.5817969217141521,0.4666666666666667,0.5222311996461778,0.4666666666666667,2.119066856384667,3.0,3.0,285.0,0.5462427905195356,48.0,1.2490706319702602,0.375,0.20230862677776873,0.375,1.3566589860109288,11.0,11.0,262.5,0.554667405926864,8.0,33.0,0.5222311996461778
S0_native_continuation,continuation_v1,baseline,final,3,0.5,53.0,15.0,0.3903345724907063,0.24439902838521696,0.3047836773714155,-0.5817969217141521,0.4666666666666667,0.5222311996461778,0.4666666666666667,2.119066856384667,3.0,3.0,285.0,0.5462427905195356,48.0,1.2490706319702602,0.375,0.20230862677776873,0.375,1.3566589860109288,11.0,11.0,262.5,0.554667405926864,8.0,33.0,0.5222311996461778
S0_native_continuation,continuation_v1,baseline,outer,1,0.5839214012665056,8.5,2.25,0.75,0.3892131389606356,0.5100766080471364,-0.6215608527080093,0.24444444444444446,-0.018259821743486632,0.24444444444444446,0.8582235556026531,1.180071233161083,1.180071233161083,750.0,0.6755170788043207,5.5,1.8333333333333333,0.2916666666666667,-0.054184306819906526,0.2916666666666667,1.1461172856932942,4.057147021077559,4.057147021077559,640.0,0.6755816984718431,3.25,3.25,-0.018259821743486632
S0_native_continuation,continuation_v1,baseline,outer,3,0.4589216512665055,8.5,2.25,0.75,0.3892131389606356,0.5100766080471364,-0.6215608527080093,0.24444444444444446,-0.018259821743486632,0.24444444444444446,0.8582235556026531,1.180071233161083,1.180071233161083,750.0,0.6755170788043207,5.75,1.9166666666666665,0.2916666666666667,-0.0593689359839239,0.2916666666666667,1.1461172856932942,4.390480354410893,4.390480354410893,792.5,0.6616348912579694,3.5,3.5,-0.018259821743486632
S0_native_continuation_stop150_tp133,continuation_v1,baseline,final,1,0.42857142857142855,53.0,15.0,0.3903345724907063,0.2512766070347215,0.3280777682717098,-0.29326881107494274,0.6,0.6004294539156928,0.6,3.4571375684555843,1.0,1.0,390.0,0.48571428571428577,48.0,1.2490706319702602,0.4583333333333333,0.17203911255222518,0.4583333333333333,1.3785022946475471,8.0,8.0,352.5,0.5393948180179207,8.0,33.0,0.6004294539156928
S0_native_continuation_stop150_tp133,continuation_v1,baseline,final,3,0.42857142857142855,53.0,15.0,0.3903345724907063,0.2512766070347215,0.3280777682717098,-0.29326881107494274,0.6,0.6004294539156928,0.6,3.4571375684555843,1.0,1.0,390.0,0.48571428571428577,48.0,1.2490706319702602,0.4583333333333333,0.17203911255222518,0.4583333333333333,1.3785022946475471,8.0,8.0,352.5,0.5393948180179207,8.0,33.0,0.6004294539156928
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,1,0.6078069195871754,8.5,2.0,0.6666666666666666,0.41235837942648723,0.5100766080471364,-0.6215608527080093,0.27777777777777773,-0.010391141653690697,0.27777777777777773,1.118967997774876,0.6666666666666666,0.6666666666666666,787.5,0.7668307243384743,5.0,1.6666666666666667,0.3666666666666667,-0.02000223838889917,0.3666666666666667,1.785634664424876,3.196067354094989,3.196067354094989,595.0,0.7567470322651904,3.5,3.0,-0.010391141653690697
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,3,0.4828071695871754,8.5,2.0,0.6666666666666666,0.41235837942648723,0.5100766080471364,-0.6215608527080093,0.27777777777777773,-0.010391141653690697,0.27777777777777773,1.118967997774876,0.6666666666666666,0.6666666666666666,787.5,0.7668307243384743,5.0,1.6666666666666667,0.3666666666666667,-0.02000223838889917,0.3666666666666667,1.785634664424876,3.196067354094989,3.196067354094989,595.0,0.7567470322651904,3.5,3.0,-0.010391141653690697
S0_native_continuation_stop175_tp114,continuation_v1,baseline,final,1,0.4375,53.0,15.0,0.3903345724907063,0.25789545486965754,0.08131646870166054,-0.29149591182532963,0.6666666666666666,0.6289010634775403,0.6666666666666666,4.668803759994428,1.0,1.0,390.0,0.5143767022521384,48.0,1.2490706319702602,0.5416666666666666,0.26352084793668035,0.5416666666666666,1.7145719493624527,5.571278424599474,5.571278424599474,397.5,0.6168029346135849,8.0,33.0,0.6289010634775403
S0_native_continuation_stop175_tp114,continuation_v1,baseline,final,3,0.4375,53.0,15.0,0.3903345724907063,0.25789545486965754,0.08131646870166054,-0.29149591182532963,0.6666666666666666,0.6289010634775403,0.6666666666666666,4.668803759994428,1.0,1.0,390.0,0.5143767022521384,48.0,1.2490706319702602,0.5416666666666666,0.26352084793668035,0.5416666666666666,1.7145719493624527,5.571278424599474,5.571278424599474,397.5,0.6168029346135849,8.0,33.0,0.6289010634775403
