experiment_id,generator,model_key,split_kind,fold_id,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,event_n_alerts,event_alerts_per_week,event_precision_tp_before_sl,event_expectancy_r_per_alert,event_hit_rate,event_profit_factor,event_max_drawdown_r,event_worst_20_trade_drawdown_r,event_median_hold_minutes,event_mean_probability_alerts,event_max_concurrent_positions,portfolio_selection_policy,overlap_filtered_alerts,primary_metric,test_start,test_end
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_03,3,0.44297606782624027,8,4,1.3333333333333333,0.1734001300594119,,,0.5,0.42255933166865706,0.5,2.6902373266746284,1.0,1.0,697.5,0.8170158122944109,5,1.6666666666666667,0.6,0.6047141319949257,0.6,4.023570659974628,1.0,1.0,210.0,0.8289019777971072,2,first_signal,1,0.42255933166865706,2024-12-02T00:00:00+00:00,2024-12-23T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_04,1,0.5,7,1,0.3333333333333333,0.7559866358442802,,,0.0,-0.2315105343963958,0.0,0.0,0.0,0.0,1440.0,0.8898957528306118,7,2.3333333333333335,0.0,-0.8313875138116232,0.0,0.0,5.588202062284967,5.588202062284967,1425.0,0.8414131075472302,7,first_signal,6,-0.2315105343963958,2024-12-23T00:00:00+00:00,2025-01-13T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_04,3,1e-06,7,1,0.3333333333333333,0.7559866358442802,,,0.0,-0.2315105343963958,0.0,0.0,0.0,0.0,1440.0,0.8898957528306118,7,2.3333333333333335,0.0,-0.8313875138116232,0.0,0.0,5.588202062284967,5.588202062284967,1425.0,0.8414131075472302,7,first_signal,6,-0.2315105343963958,2024-12-23T00:00:00+00:00,2025-01-13T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_05,1,0.9096205898331796,6,0,0.0,0.46707289640935956,,,,,,,,,,,0,0.0,,,,,,,,,0,first_signal,0,,2025-01-13T00:00:00+00:00,2025-02-03T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_05,3,0.9096205898331796,6,0,0.0,0.46707289640935956,,,,,,,,,,,0,0.0,,,,,,,,,0,first_signal,0,,2025-01-13T00:00:00+00:00,2025-02-03T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_10,1,0.5786310206892816,13,3,1.0,0.25297385539289735,0.5100766080471364,-0.6215608527080093,0.3333333333333333,-0.22222222223333335,0.3333333333333333,0.66666666665,1.0,1.0,225.0,0.5935806078904003,8,2.6666666666666665,0.5,0.16666666665,0.5,1.3333333333,3.0,3.0,150.0,0.5999260114512336,5,first_signal,5,-0.22222222223333335,2025-04-28T00:00:00+00:00,2025-05-19T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,outer,outer_10,3,0.5786310206892816,13,3,1.0,0.25297385539289735,0.5100766080471364,-0.6215608527080093,0.3333333333333333,-0.22222222223333335,0.3333333333333333,0.66666666665,1.0,1.0,225.0,0.5935806078904003,8,2.6666666666666665,0.5,0.16666666665,0.5,1.3333333333,3.0,3.0,150.0,0.5999260114512336,5,first_signal,5,-0.22222222223333335,2025-04-28T00:00:00+00:00,2025-05-19T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,final,final_frozen,1,0.42857142857142855,53,15,0.3903345724907063,0.2512766070347215,0.3280777682717098,-0.29326881107494274,0.6,0.6004294539156928,0.6,3.4571375684555843,1.0,1.0,390.0,0.48571428571428577,48,1.2490706319702602,0.4583333333333333,0.17203911255222518,0.4583333333333333,1.3785022946475471,8.0,8.0,352.5,0.5393948180179207,8,first_signal,33,0.6004294539156928,2025-07-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
S0_native_continuation_stop150_tp133,continuation_v1,baseline,final,final_frozen,3,0.42857142857142855,53,15,0.3903345724907063,0.2512766070347215,0.3280777682717098,-0.29326881107494274,0.6,0.6004294539156928,0.6,3.4571375684555843,1.0,1.0,390.0,0.48571428571428577,48,1.2490706319702602,0.4583333333333333,0.17203911255222518,0.4583333333333333,1.3785022946475471,8.0,8.0,352.5,0.5393948180179207,8,first_signal,33,0.6004294539156928,2025-07-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_03,1,0.44297606782624027,8,4,1.3333333333333333,0.17340013005941185,,,0.5,0.3264814899227881,0.5,2.305925959691152,1.0,1.0,697.5,0.8170158122944108,5,1.6666666666666667,0.6,0.48975662051823043,0.6,3.448783102591152,1.0,1.0,210.0,0.8289019777971072,2,first_signal,1,0.3264814899227881,2024-12-02T00:00:00+00:00,2024-12-23T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_03,3,0.44297606782624027,8,4,1.3333333333333333,0.17340013005941185,,,0.5,0.3264814899227881,0.5,2.305925959691152,1.0,1.0,697.5,0.8170158122944108,5,1.6666666666666667,0.6,0.48975662051823043,0.6,3.448783102591152,1.0,1.0,210.0,0.8289019777971072,2,first_signal,1,0.3264814899227881,2024-12-02T00:00:00+00:00,2024-12-23T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_04,1,0.5,7,1,0.3333333333333333,0.7559866358442793,,,0.0,-0.19852415024586256,0.0,0.0,0.0,0.0,1440.0,0.8898957528306083,7,2.3333333333333335,0.0,-0.7943215341950852,0.0,0.0,5.361726589119733,5.361726589119733,1440.0,0.8414131075472298,7,first_signal,6,-0.19852415024586256,2024-12-23T00:00:00+00:00,2025-01-13T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_04,3,1e-06,7,1,0.3333333333333333,0.7559866358442793,,,0.0,-0.19852415024586256,0.0,0.0,0.0,0.0,1440.0,0.8898957528306083,7,2.3333333333333335,0.0,-0.7943215341950852,0.0,0.0,5.361726589119733,5.361726589119733,1440.0,0.8414131075472298,7,first_signal,6,-0.19852415024586256,2024-12-23T00:00:00+00:00,2025-01-13T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_05,1,0.9096205898331796,6,0,0.0,0.46707289640935984,,,,,,,,,,,0,0.0,,,,,,,,,0,first_signal,0,,2025-01-13T00:00:00+00:00,2025-02-03T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_05,3,0.9096205898331796,6,0,0.0,0.46707289640935984,,,,,,,,,,,0,0.0,,,,,,,,,0,first_signal,0,,2025-01-13T00:00:00+00:00,2025-02-03T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_10,1,0.5786310206892816,13,1,0.3333333333333333,0.25297385539289735,0.5100766080471367,-0.6215608527080094,0.0,-0.3043181793006078,0.0,0.0,0.0,0.0,1440.0,0.5793715969147357,8,2.6666666666666665,0.5,0.38947019489527424,0.5,3.1404356439624386,1.151348833137198,1.151348833137198,375.0,0.5999260114512336,6,first_signal,7,-0.3043181793006078,2025-04-28T00:00:00+00:00,2025-05-19T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,outer,outer_10,3,0.5786310206892816,13,1,0.3333333333333333,0.25297385539289735,0.5100766080471367,-0.6215608527080094,0.0,-0.3043181793006078,0.0,0.0,0.0,0.0,1440.0,0.5793715969147357,8,2.6666666666666665,0.5,0.38947019489527424,0.5,3.1404356439624386,1.151348833137198,1.151348833137198,375.0,0.5999260114512336,6,first_signal,7,-0.3043181793006078,2025-04-28T00:00:00+00:00,2025-05-19T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,final,final_frozen,1,0.4375,53,15,0.3903345724907063,0.25789545486965754,0.08131646870166054,-0.29149591182532963,0.6666666666666666,0.6289010634775403,0.6666666666666666,4.668803759994428,1.0,1.0,390.0,0.5143767022521384,48,1.2490706319702602,0.5416666666666666,0.26352084793668035,0.5416666666666666,1.7145719493624527,5.571278424599474,5.571278424599474,397.5,0.6168029346135849,8,first_signal,33,0.6289010634775403,2025-07-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
S0_native_continuation_stop175_tp114,continuation_v1,baseline,final,final_frozen,3,0.4375,53,15,0.3903345724907063,0.25789545486965754,0.08131646870166054,-0.29149591182532963,0.6666666666666666,0.6289010634775403,0.6666666666666666,4.668803759994428,1.0,1.0,390.0,0.5143767022521384,48,1.2490706319702602,0.5416666666666666,0.26352084793668035,0.5416666666666666,1.7145719493624527,5.571278424599474,5.571278424599474,397.5,0.6168029346135849,8,first_signal,33,0.6289010634775403,2025-07-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
