experiment_id,generator,model_key,split_kind,fold_id,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,primary_metric,test_start,test_end
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_03,1,0.892620070408472,7,3,1.8983050847457628,0.14708612856077968,,,0.6666666666666666,1.0,0.6666666666666666,4.0,1.0,1.0,210.0,0.9986617484452113,1.0,2024-11-30T00:00:00+00:00,2024-12-21T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_03,3,0.8543525900303433,7,3,1.8983050847457628,0.14708612856077968,,,0.6666666666666666,1.0,0.6666666666666666,4.0,1.0,1.0,210.0,0.9986617484452113,1.0,2024-11-30T00:00:00+00:00,2024-12-21T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_04,1,0.9722724007930732,7,0,0.0,0.37536188078314364,,,,,,,,,,,,2024-12-21T00:00:00+00:00,2025-01-11T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_04,3,0.13676457175323042,7,7,49.0,0.37536188078314364,,,0.0,-0.9066766750476872,0.0,0.0,6.000000000000001,6.000000000000001,1395.0,0.6061787281483321,-0.9066766750476872,2024-12-21T00:00:00+00:00,2025-01-11T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_05,1,0.9522598822776923,6,0,0.0,0.6808315379922907,,,,,,,,,,,,2025-01-11T00:00:00+00:00,2025-02-01T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_05,3,0.9522598822776923,6,0,0.0,0.6808315379922907,,,,,,,,,,,,2025-01-11T00:00:00+00:00,2025-02-01T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_10,1,0.8297632390675334,13,0,0.0,0.2954885965155335,-0.6059043244846507,-1.3407229993354777,,,,,,,,,,2025-04-26T00:00:00+00:00,2025-05-17T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,outer,outer_10,3,0.8297632390675334,13,0,0.0,0.2954885965155335,-0.6059043244846507,-1.3407229993354777,,,,,,,,,,2025-04-26T00:00:00+00:00,2025-05-17T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,final,final_frozen,1,0.7403700586076477,7,0,0.0,0.32913458691760006,,,,,,,,,,,,2026-03-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
S2_plus_crowding_feature,continuation_v1,baseline,final,final_frozen,3,0.6164858506062748,7,0,0.0,0.32913458691760006,,,,,,,,,,,,2026-03-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
